"";"cena";"waluta";"Oferta.od";"Kategoria";"Marka.pojazdu";"Model.pojazdu";"Generacja";"Rok.produkcji";"Przebieg";"Pojemnoœæ.skokowa";"Rodzaj.paliwa";"Moc";"Skrzynia.biegów";"Napêd";"Typ";"Liczba.drzwi";"Liczba.miejsc";"Kolor";"Metalik";"Faktura.VAT";"Kraj.pochodzenia";"Pierwszy.w³aœciciel";"Serwisowany.w.ASO";"Stan";"VIN";"Wersja";"Emisja.CO2";"VAT.mar¿a";"Mo¿liwoœæ.finansowania";"Bezwypadkowy";"Okres.gwarancji.producenta";"lub.do..przebieg.km.";"Pierwsza.rejestracja";"Zarejestrowany.w.Polsce";"Per³owy";"Numer.rejestracyjny.pojazdu";"Leasing";"Gwarancja.dealerska..w.cenie.";"Tuning";"Filtr.cz¹stek.sta³ych";"Uszkodzony";"Miesiêczna.rata";"Akryl..niemetalizowany.";"Homologacja.ciê¿arowa";"Kierownica.po.prawej..Anglik.";"Op³ata.pocz¹tkowa";"Liczba.pozosta³ych.rat";"Wartoœæ.wykupu";"Var.26";"Var.27";"Var.28";"Var.29";"Var.30";"Var.31";"Var.32";"Var.33";"Var.25";"Var.34";"Var.35";"Matowy";"Zarejestrowany.jako.zabytek";"Warranty.if.agreed.with.the.buyer"
"1";39986;"PLN";"Firmy";"Osobowe";"Kia";"Ceed";"II (2012-)";2017;"126 300 km";"1 400 cm3";"Diesel";"90 KM";"Manualna";"Na przednie ko³a";"Kombi";5;5;"Srebrny";"Tak";"Tak";"Polska";"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";21900;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Sportage";"II (2004-2010)";2011;"180 000 km";"1 975 cm3";"Benzyna+LPG";"142 KM";"Manualna";"Na przednie ko³a";"SUV";5;5;"Srebrny";"Tak";NA;NA;NA;"Tak";"U¿ywane";"Wyœwietl VIN";"2.0 Tour 2WD";"194 g/km";"Tak";"Tak";"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3";39800;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Ceed";"II (2012-)";2017;"124 404 km";"1 582 cm3";"Diesel";"110 KM";"Manualna";"Na przednie ko³a";"Kompakt";5;5;"Szary";"Tak";"Tak";NA;"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";"Cee'd 1.6 CRDi M";"113 g/km";NA;"Tak";"Tak";"13/12/2024";"150 000 km";"13/12/2017";"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";117900;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Stinger";NA;2019;"22 000 km";"1 998 cm3";"Benzyna";"255 KM";"Automatyczna";"4x4 (do³¹czany automatycznie)";"Coupe";5;5;"Czerwony";"Tak";NA;NA;NA;NA;"U¿ywane";"Wyœwietl VIN";"2.0 T-GDI";"181 g/km";NA;NA;NA;NA;"22 000 km";NA;"Tak";"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5";24900;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Rio";"III (2011-)";2012;"217 000 km";"1 248 cm3";"Benzyna";"85 KM";"Manualna";"Na przednie ko³a";"Auta miejskie";5;5;"Czarny";"Tak";NA;"Holandia";NA;"Tak";"U¿ywane";"Wyœwietl VIN";"1.2";"119 g/km";"Tak";"Tak";"Tak";NA;NA;"15/03/2012";"Tak";"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"6";59800;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Optima";NA;2017;"124 000 km";"1 685 cm3";"Diesel";"141 KM";"Automatyczna";"Na przednie ko³a";"Kombi";5;5;"Inny kolor";"Tak";NA;"Niemcy";"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";"Sportswagon 1.7 CRDI DCT";"120 g/km";"Tak";NA;"Tak";NA;NA;"15/02/2018";"Tak";NA;"TK9730Y";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";79900;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Sportage";"IV (2016-)";2017;"40 000 km";"1 685 cm3";"Diesel";"141 KM";"Automatyczna";"Na przednie ko³a";"SUV";5;5;"Inny kolor";NA;NA;"Francja";NA;NA;"U¿ywane";"Wyœwietl VIN";"1.7 CRDI GT Line 2WD DCT";NA;NA;"Tak";NA;NA;NA;"30/07/2017";"Tak";"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8";18500;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Ceed";"I (2006-2012)";2010;"13 000 km";"1 396 cm3";"Benzyna";"90 KM";"Manualna";"Na przednie ko³a";"Kombi";5;5;"Czarny";"Tak";"Tak";NA;NA;NA;"U¿ywane";"Wyœwietl VIN";"Cee'd 1.4 Optimum";"145 g/km";NA;NA;NA;NA;NA;"10/06/2010";NA;NA;"PZ146PY";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"9";17600;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Ceed";"I (2006-2012)";2011;"320 000 km";"1 582 cm3";"Diesel";"116 KM";"Manualna";"Na przednie ko³a";"Kombi";5;5;"Bia³y";NA;NA;"Polska";NA;"Tak";"U¿ywane";"Wyœwietl VIN";"Cee'd 1.6 Crdi Comfort";"125 g/km";NA;NA;"Tak";NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";91500;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Ceed";"III (2018-)";2020;"10 500 km";"1 353 cm3";"Benzyna";"140 KM";"Automatyczna";"Na przednie ko³a";"Kombi";5;5;"Czarny";NA;NA;"Polska";"Tak";NA;"U¿ywane";"Wyœwietl VIN";"1.4 T-GDI L Business Line Plus DCT";NA;NA;NA;"Tak";NA;NA;"26/05/2020";"Tak";NA;"WL1785R";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
